Return Year,Region,Population,Run Timing,Hatchery Facility,Program Type,Conservation Unit ID,Conservation Unit Name,CU Acronym,DU #,Proposed DU Name,Proposed DU Short Name,JAZ Acronym,PNI Estimate Type (CWT),pHOS (CWT),pNOB (CWT),"PNI (CWT, incl. jacks)",Annual Biological Designation (CWT),PNI Calculation Description,CWT comments,PNI Estimate Type (Thermal),pHOS (Thermal),pNOB (Thermal),PNI (Thermal),Annual Biological Designation (Thermal),PNI Calculation Description,Thermal Mark Comments,pHOS (PBT),pNOB (PBT),PNI (PBT),PBT Comments,pHOS (biostandards w/o jacks),PNI (biostandards w/o jacks),pHOS (biostandards w/ jacks),PNI (biostandards w/ jacks),General Comments,Complete Cohort Years (CWT),Complete Cohort Years (Thermal),Years when the Proportion of the Release has > 5% Unassociated Tags (only applies to CWTs)
2014,SBC,Cypre Creek,Fall,Tofino,DPI,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,0.741957965,,0.714374976,,"The stock is enhanced but not marked. Releases have occurred in Cypre Estuary in 1997-2005, 2007-2009, 2011-2012 and in Cypre River in 1989, 1993-1994, 1996, 2000-2004, 2006-2013, 2015. No stray thermal codes were observed in samples collected in 2011, 2014-2017.",,,"1989, 1993-2013, 2015"
2015,SBC,Cypre Creek,Fall,Tofino,DPI,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,0.595879739,,0.590981188,,"The stock is enhanced but not marked. Releases have occurred in Cypre Estuary in 1997-2005, 2007-2009, 2011-2012 and in Cypre River in 1989, 1993-1994, 1996, 2000-2004, 2006-2013, 2015. No stray thermal codes were observed in samples collected in 2011, 2014-2017.",,,"1989, 1993-2013, 2015"
2016,SBC,Cypre Creek,Fall,Tofino,DPI,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,0.684230785,,0.683541746,,"The stock is enhanced but not marked. Releases have occurred in Cypre Estuary in 1997-2005, 2007-2009, 2011-2012 and in Cypre River in 1989, 1993-1994, 1996, 2000-2004, 2006-2013, 2015. No stray thermal codes were observed in samples collected in 2011, 2014-2017.",,,"1989, 1993-2013, 2015"
2017,SBC,Cypre Creek,Fall,Tofino,DPI,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"The stock is enhanced but not marked. Releases have occurred in Cypre Estuary in 1997-2005, 2007-2009, 2011-2012 and in Cypre River in 1989, 1993-1994, 1996, 2000-2004, 2006-2013, 2015. No stray thermal codes were observed in samples collected in 2011, 2014-2017.",,,"1989, 1993-2013, 2015"
2018,SBC,Cypre Creek,Fall,Tofino,DPI,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"The stock is enhanced but not marked. Releases have occurred in Cypre Estuary in 1997-2005, 2007-2009, 2011-2012 and in Cypre River in 1989, 1993-1994, 1996, 2000-2004, 2006-2013, 2015. No stray thermal codes were observed in samples collected in 2011, 2014-2017.",,,"1989, 1993-2013, 2015"
2013,SBC,Englishman River,Fall,Englishman Enh,DPI,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1997, 1999-2000, 2003-2017"
2014,SBC,Englishman River,Fall,Englishman Enh,DPI,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1997, 1999-2000, 2003-2017"
2015,SBC,Englishman River,Fall,Englishman Enh,DPI,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1997, 1999-2000, 2003-2017"
2017,SBC,Englishman River,Fall,Englishman Enh,DPI,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"Production of 100,000 for 2018 production plan. ",,,"1997, 1999-2000, 2003-2017"
2018,SBC,Englishman River,Fall,Englishman Enh,DPI,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1997, 1999-2000, 2003-2017"
2016,SBC,Englishman River,Fall,Englishman Enh,DPI,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1997, 1999-2000, 2003-2017"
2018,SBC,Gold River,Fall,Conuma,OPS,CK-032,West Vancouver Island-Nootka and Kyuquot_FA_0.x,NoKy,DU25,BC West Vancouver Island Ocean Fall (Nootka & Kyuquot),WVI/Ocean/Fall (Nootka & Kyuquot),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,2007-2008,"1983, 1985-1986, 1993-1996, 1998-1999, 2004-2006, 2008, 2012-2014, 2016"
2016,SBC,Goldstream River,Fall,Goldstream ,DPI,CK-021,East Vancouver Island-Goldstream_FA_0.x,Goldstr,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,Heavily influenced by strays,,,"1982-1990, 1991-1993, 1995-1996, 1998-2002, 2005, 2008-2009, 2011-2013, 2015-2016"
2013,SBC,Goldstream River,Fall,Goldstream ,DPI,CK-021,East Vancouver Island-Goldstream_FA_0.x,Goldstr,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,Heavily influenced by strays,,,"1982-1990, 1991-1993, 1995-1996, 1998-2002, 2005, 2008-2009, 2011-2013, 2015-2016"
2014,SBC,Goldstream River,Fall,Goldstream ,DPI,CK-021,East Vancouver Island-Goldstream_FA_0.x,Goldstr,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,Heavily influenced by strays,,,"1982-1990, 1991-1993, 1995-1996, 1998-2002, 2005, 2008-2009, 2011-2013, 2015-2016"
2015,SBC,Goldstream River,Fall,Goldstream ,DPI,CK-021,East Vancouver Island-Goldstream_FA_0.x,Goldstr,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,Heavily influenced by strays,,,"1982-1990, 1991-1993, 1995-1996, 1998-2002, 2005, 2008-2009, 2011-2013, 2015-2016"
2017,SBC,Goldstream River,Fall,Goldstream ,DPI,CK-021,East Vancouver Island-Goldstream_FA_0.x,Goldstr,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"Low production of 45,000 for 2018 production plan. Heavily influenced by strays.",,,"1982-1990, 1991-1993, 1995-1996, 1998-2002, 2005, 2008-2009, 2011-2013, 2015-2016"
2018,SBC,Goldstream River,Fall,Goldstream ,DPI,CK-021,East Vancouver Island-Goldstream_FA_0.x,Goldstr,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,Heavily influenced by strays,,,"1982-1990, 1991-1993, 1995-1996, 1998-2002, 2005, 2008-2009, 2011-2013, 2015-2016"
2013,SBC,Goodspeed River,Fall,Holberg Inlet,PIP,CK-033,West Vancouver Island-North_FA_0.x,NWVI,DU26,BC West Vancouver Island Ocean Fall (WVI + WQCI),WVI+WQCI/Ocean/Fall,WVI+WQCI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1987-1989, 1991, 1993-2001, 2003-2004, 2006, 2008-2009, 2013"
2014,SBC,Goodspeed River,Fall,Holberg Inlet,PIP,CK-033,West Vancouver Island-North_FA_0.x,NWVI,DU26,BC West Vancouver Island Ocean Fall (WVI + WQCI),WVI+WQCI/Ocean/Fall,WVI+WQCI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1987-1989, 1991, 1993-2001, 2003-2004, 2006, 2008-2009, 2013"
2015,SBC,Goodspeed River,Fall,Holberg Inlet,PIP,CK-033,West Vancouver Island-North_FA_0.x,NWVI,DU26,BC West Vancouver Island Ocean Fall (WVI + WQCI),WVI+WQCI/Ocean/Fall,WVI+WQCI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1987-1989, 1991, 1993-2001, 2003-2004, 2006, 2008-2009, 2013"
2017,SBC,Goodspeed River,Fall,Holberg Inlet,PIP,CK-033,West Vancouver Island-North_FA_0.x,NWVI,DU26,BC West Vancouver Island Ocean Fall (WVI + WQCI),WVI+WQCI/Ocean/Fall,WVI+WQCI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"Low production. 2018 release target of 32,000.",,,"1987-1989, 1991, 1993-2001, 2003-2004, 2006, 2008-2009, 2013"
2018,SBC,Goodspeed River,Fall,Holberg Inlet,PIP,CK-033,West Vancouver Island-North_FA_0.x,NWVI,DU26,BC West Vancouver Island Ocean Fall (WVI + WQCI),WVI+WQCI/Ocean/Fall,WVI+WQCI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1987-1989, 1991, 1993-2001, 2003-2004, 2006, 2008-2009, 2013"
2016,SBC,Goodspeed River,Fall,Holberg Inlet,PIP,CK-033,West Vancouver Island-North_FA_0.x,NWVI,DU26,BC West Vancouver Island Ocean Fall (WVI + WQCI),WVI+WQCI/Ocean/Fall,WVI+WQCI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1987-1989, 1991, 1993-2001, 2003-2004, 2006, 2008-2009, 2013"
2013,SBC,Kennedy River,Fall,Clayoquot,CDP,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,
2014,SBC,Kennedy River,Fall,Clayoquot,CDP,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,
2018,SBC,Kennedy River,Fall,Clayoquot,CDP,CK-031,West Vancouver Island-South_FA_0.x,SWVI,DU24,BC West Vancouver Island Ocean Fall (South),WVI/Ocean/Fall (South),WVI+WVI,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,
2013,Other,Kilbella River,Summer,Rivers Inlet,PIP,CK-037,Rivers Inlet,RI, ,0,0,RSI+HStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1986-1989,1993, 1996-2001"
2014,Other,Kilbella River,Summer,Rivers Inlet,PIP,CK-037,Rivers Inlet,RI, ,0,0,RSI+HStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1986-1989,1993, 1996-2001"
2015,Other,Kilbella River,Summer,Rivers Inlet,PIP,CK-037,Rivers Inlet,RI, ,0,0,RSI+HStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1986-1989,1993, 1996-2001"
2016,Other,Kilbella River,Summer,Rivers Inlet,PIP,CK-037,Rivers Inlet,RI, ,0,0,RSI+HStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1986-1989,1993, 1996-2001"
2017,Other,Kilbella River,Summer,Rivers Inlet,PIP,CK-037,Rivers Inlet,RI, ,0,0,RSI+HStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,"Low production. 2018 release target of 65,000.",,,"1986-1989,1993, 1996-2001"
2018,Other,Kilbella River,Summer,Rivers Inlet,PIP,CK-037,Rivers Inlet,RI, ,0,0,RSI+HStr,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,,,"1986-1989,1993, 1996-2001"
2013,Other,Kingfisher Creek,#N/A,Kingfisher Creek/TOMF,DPI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,For stewardship and education purposes. A small number of fry released. No PNI estimated.,,,
